run_index,scenario,seed,simulated_ebitda,simulated_contract_revenue,retained_pct_of_base_contract
387,downside,42,703000.653269,1700003.299337,0.531251
388,downside,42,717566.491932,1773568.141069,0.554240
389,downside,42,523057.247100,791198.217676,0.247249
390,downside,42,763423.338255,2005168.375027,0.626615
391,downside,42,958621.305467,2991016.694276,0.934693
392,downside,42,720015.386463,1785936.295269,0.558105
393,downside,42,762758.789839,2001812.069895,0.625566
394,downside,42,713382.491958,1752436.828069,0.547637
395,downside,42,703549.936348,1702777.456301,0.532118
396,downside,42,905685.855628,2723665.937517,0.851146
397,downside,42,769865.399670,2037704.038737,0.636783
398,downside,42,812702.420046,2254052.626495,0.704391
399,downside,42,754020.816376,1957680.890785,0.611775
400,downside,42,714513.983039,1758151.429491,0.549422
401,downside,42,764170.580462,2008942.325568,0.627794
402,downside,42,954102.530948,2968194.600748,0.927561
403,downside,42,923102.100215,2811626.768764,0.878633
404,downside,42,751987.692453,1947412.588146,0.608566
405,downside,42,757127.900212,1973373.233394,0.616679
406,downside,42,708248.550039,1726507.828477,0.539534
407,downside,42,857881.090866,2482227.731645,0.775696
408,downside,42,838151.767721,2382584.685461,0.744558
409,downside,42,954445.048312,2969924.486426,0.928101
410,downside,42,598463.577832,1172038.271881,0.366262
411,downside,42,845839.559364,2421411.915979,0.756691
412,downside,42,960265.414607,2999320.275791,0.937288
413,downside,42,959188.800715,2993882.831896,0.935588
414,downside,42,775935.857208,2068362.915190,0.646363
415,downside,42,944012.508468,2917234.891254,0.911636
416,downside,42,581426.520487,1085992.527713,0.339373
417,downside,42,713979.354203,1755451.283856,0.548579
418,downside,42,749578.496539,1935244.932017,0.604764
419,downside,42,651514.932718,1439974.407667,0.449992
420,downside,42,785715.874174,2117756.940274,0.661799
421,downside,42,830348.188184,2343172.667598,0.732241
422,downside,42,713850.465652,1754800.331574,0.548375
423,downside,42,712318.470368,1747062.981658,0.545957
424,downside,42,885554.825071,2621994.066014,0.819373
425,downside,42,711523.104480,1743045.982221,0.544702
426,downside,42,900262.859582,2696277.068594,0.842587
427,downside,42,767612.914735,2026327.852195,0.633227
428,downside,42,907982.562021,2735265.464754,0.854770
429,downside,42,886593.739388,2627241.108019,0.821013
430,downside,42,667714.909497,1521792.472209,0.475560
431,downside,42,758673.237420,1981177.966768,0.619118
432,downside,42,956738.359129,2981506.864288,0.931721
433,downside,42,756063.964900,1967999.822726,0.615000
434,downside,42,906707.514397,2728825.830287,0.852758
435,downside,42,850525.300125,2445077.273358,0.764087
436,downside,42,771693.332354,2046936.021991,0.639668
437,downside,42,944368.771270,2919034.198332,0.912198
438,downside,42,640909.687465,1386412.562955,0.433254
439,downside,42,762423.284167,2000117.596804,0.625037
440,downside,42,854762.304528,2466476.285495,0.770774
441,downside,42,948035.286882,2937551.953951,0.917985
442,downside,42,907063.302621,2730622.740513,0.853320
443,downside,42,902708.532634,2708628.952695,0.846447
444,downside,42,631048.108276,1336606.607454,0.417690
445,downside,42,843031.712738,2407230.872414,0.752260
446,downside,42,700294.699349,1686336.865398,0.526980
447,downside,42,820661.720840,2294251.115355,0.716953
448,downside,42,952047.413000,2957815.217174,0.924317
449,downside,42,647102.581857,1417689.807360,0.443028
450,downside,42,574806.462982,1052557.893851,0.328924
451,downside,42,721596.546751,1793921.953290,0.560601
452,downside,42,896614.649335,2677851.764321,0.836829
